'num';'IDsurface';'IDcrs';'x1';'y1';'x2';'y2';'x3';'y3';'x4';'y4';'SupProchePt1';'SupProchePt2';'SupProchePt3';'SupProchePt4';'IdAllSupProche'
'1031';'CRS3035RES200mN2053200E4259000';'LAEA200M_N10266E21295';'9.25947';'41.5779';'9.26186';'41.5779';'9.26184';'41.5797';'9.25945';'41.5797';'445750-1332';'445750-1293';'445750-1201';'445750-1243';'445750'
'1033';'CRS3035RES200mN2053200E4260200';'LAEA200M_N10266E21301';'9.27381';'41.5780';'9.27619';'41.5780';'9.27617';'41.5799';'9.27378';'41.5798';'774683-708';'774683-644';'774683-564';'774683-641';'774683-536956'
'1041';'CRS3035RES200mN2053400E4254000';'LAEA200M_N10267E21270';'9.19973';'41.5793';'9.20212';'41.5793';'9.20210';'41.5811';'9.19971';'41.5811';'666487-3393';'666487-3488';'666487-3516';'666487-3421';'1828622-666487'
'1046';'CRS3035RES200mN2053400E4258200';'LAEA200M_N10267E21291';'9.24990';'41.5797';'9.25229';'41.5797';'9.25226';'41.5815';'9.24987';'41.5815';'445750-1697';'445750-1618';'445750-1559';'445750-1641';'445750'
'1049';'CRS3035RES200mN2053400E4259000';'LAEA200M_N10267E21295';'9.25945';'41.5797';'9.26184';'41.5797';'9.26182';'41.5816';'9.25943';'41.5815';'445750-1155';'445750-1109';'445750-1015';'445750-1070';'445750'
'1050';'CRS3035RES200mN2053400E4259200';'LAEA200M_N10267E21296';'9.26184';'41.5797';'9.26423';'41.5798';'9.26421';'41.5816';'9.26182';'41.5816';'445750-1066';'445750-1030';'445750-935';'445750-968';'445750'
'1054';'CRS3035RES200mN2053400E4260200';'LAEA200M_N10267E21301';'9.27378';'41.5798';'9.27617';'41.5799';'9.27615';'41.5817';'9.27376';'41.5816';'774683-581';'774683-496';'774683-442';'774683-535';'774683-536956'
'1057';'CRS3035RES200mN2053400E4265600';'LAEA200M_N10267E21328';'9.33828';'41.5803';'9.34067';'41.5803';'9.34065';'41.5821';'9.33826';'41.5821';'461776-2682';'461776-2749';'461776-2677';'461776-2608';'461776-674287'
'1061';'CRS3035RES200mN2053600E4256600';'LAEA200M_N10268E21283';'9.23076';'41.5813';'9.23315';'41.5813';'9.23313';'41.5831';'9.23074';'41.5831';'445750-3074';'445750-2978';'445750-2953';'445750-3049';'445750'
'1063';'CRS3035RES200mN2053600E4259200';'LAEA200M_N10268E21296';'9.26182';'41.5816';'9.26421';'41.5816';'9.26419';'41.5834';'9.26180';'41.5834';'445750-877';'445750-839';'445750-745';'445750-788';'445750'
'1065';'CRS3035RES200mN2053600E4259800';'LAEA200M_N10268E21299';'9.26899';'41.5816';'9.27137';'41.5816';'9.27135';'41.5834';'9.26896';'41.5834';'536956-791';'536956-727';'536956-651';'536956-723';'774674-774683-536956-445750'
'1066';'CRS3035RES200mN2053600E4260000';'LAEA200M_N10268E21300';'9.27137';'41.5816';'9.27376';'41.5816';'9.27374';'41.5835';'9.27135';'41.5834';'536956-670';'774683-604';'536956-530';'536956-587';'774674-774683-536956-445750'
'1069';'CRS3035RES200mN2053600E4260600';'LAEA200M_N10268E21303';'9.27854';'41.5817';'9.28093';'41.5817';'9.28091';'41.5835';'9.27852';'41.5835';'774683-139';'774683-101';'774683-3';'774683-96';'774683'
'1070';'CRS3035RES200mN2053600E4260800';'LAEA200M_N10268E21304';'9.28093';'41.5817';'9.28332';'41.5817';'9.28330';'41.5835';'9.28091';'41.5835';'774683-144';'774683-227';'774683-202';'774683-103';'774683'
